,BEGIN_YEARMONTH,BEGIN_DAY,STATE,EVENT_TYPE,DAMAGE_CROPS
106,195008,8,MISSOURI,Tornado,0
107,195005,8,SOUTH DAKOTA,Tornado,0
108,195006,15,IOWA,Tornado,0
109,195007,1,IOWA,Tornado,0
110,195005,4,IOWA,Tornado,0
111,195005,8,IOWA,Tornado,0
112,195002,12,LOUISIANA,Tornado,0
113,195002,12,LOUISIANA,Tornado,0
114,195002,12,LOUISIANA,Tornado,0
115,195002,12,LOUISIANA,Tornado,0
116,195002,12,LOUISIANA,Tornado,0
117,195002,12,LOUISIANA,Tornado,0
118,195002,12,LOUISIANA,Tornado,0
119,195002,12,LOUISIANA,Tornado,0
120,195002,12,LOUISIANA,Tornado,0
121,195002,12,LOUISIANA,Tornado,0
122,195003,19,LOUISIANA,Tornado,0
123,195003,19,LOUISIANA,Tornado,0
124,195003,19,LOUISIANA,Tornado,0
125,195001,3,OHIO,Tornado,0
126,195007,19,OHIO,Tornado,0
127,195007,19,OHIO,Tornado,0
128,195004,28,KANSAS,Tornado,0
129,195005,4,KANSAS,Tornado,0
130,195005,4,KANSAS,Tornado,0
131,195005,4,KANSAS,Tornado,0
132,195005,5,KANSAS,Tornado,0
133,195005,5,KANSAS,Tornado,0
134,195005,8,KANSAS,Tornado,0
135,195005,8,KANSAS,Tornado,0
136,195006,13,NORTH DAKOTA,Tornado,0
137,195006,14,NORTH DAKOTA,Tornado,0
138,195005,25,TEXAS,Tornado,0
139,195005,29,TEXAS,Tornado,0
140,195006,5,TEXAS,Tornado,0
141,195006,5,TEXAS,Tornado,0
142,195006,19,TEXAS,Tornado,0
143,195007,19,INDIANA,Tornado,0
144,195007,19,INDIANA,Tornado,0
145,195007,22,COLORADO,Tornado,0
146,195007,3,INDIANA,Tornado,0
147,195008,5,COLORADO,Tornado,0
148,195008,5,COLORADO,Tornado,0
149,195004,27,SOUTH CAROLINA,Tornado,0
150,195001,13,ARKANSAS,Tornado,0
151,195002,11,TEXAS,Tornado,0
152,195005,8,KANSAS,Tornado,0
153,195007,14,CONNECTICUT,Tornado,0
154,195008,9,WEST VIRGINIA,Tornado,0
155,195002,12,LOUISIANA,Tornado,0
156,195004,18,ALABAMA,Tornado,0
157,195005,10,WYOMING,Tornado,0
158,195006,7,WYOMING,Tornado,0
159,195006,14,WYOMING,Tornado,0
160,195001,25,MISSOURI,Tornado,0
161,195005,8,KANSAS,Tornado,0
162,195005,30,GEORGIA,Tornado,0
163,195006,4,GEORGIA,Tornado,0
164,195006,4,GEORGIA,Tornado,0
165,195006,7,GEORGIA,Tornado,0
166,195008,6,KANSAS,Tornado,0
167,195008,6,KANSAS,Tornado,0
168,195008,28,KANSAS,Tornado,0
169,195005,8,KANSAS,Tornado,0
170,195005,9,KANSAS,Tornado,0
171,195005,16,KANSAS,Tornado,0
172,195005,18,KANSAS,Tornado,0
173,195005,18,KANSAS,Tornado,0
174,195005,19,KANSAS,Tornado,0
175,195005,23,KANSAS,Tornado,0
176,195005,24,KANSAS,Tornado,0
177,195005,24,KANSAS,Tornado,0
178,195006,8,KANSAS,Tornado,0
179,195006,8,KANSAS,Tornado,0
180,195006,25,WISCONSIN,Tornado,0
181,195006,25,WISCONSIN,Tornado,0
182,195006,25,WISCONSIN,Tornado,0
183,195006,25,WISCONSIN,Tornado,0
184,195006,25,WISCONSIN,Tornado,0
185,195006,25,WISCONSIN,Tornado,0
186,195001,3,ILLINOIS,Tornado,0
187,195001,3,ILLINOIS,Tornado,0
188,195001,25,ILLINOIS,Tornado,0
189,195003,27,ILLINOIS,Tornado,0
190,195006,16,KANSAS,Tornado,0
191,195006,25,KANSAS,Tornado,0
192,195006,25,KANSAS,Tornado,0
193,195007,1,KANSAS,Tornado,0
194,195007,1,KANSAS,Tornado,0
195,195002,13,TENNESSEE,Tornado,0
196,195002,13,TENNESSEE,Tornado,0
197,195003,27,TENNESSEE,Tornado,0
198,195003,27,LOUISIANA,Tornado,0
199,195003,27,LOUISIANA,Tornado,0
200,195004,24,LOUISIANA,Tornado,0
201,195005,1,LOUISIANA,Tornado,0
202,195005,1,LOUISIANA,Tornado,0
203,195005,1,LOUISIANA,Tornado,0
204,195005,1,LOUISIANA,Tornado,0
205,195005,1,LOUISIANA,Tornado,0
206,195005,2,LOUISIANA,Tornado,0
207,195005,2,LOUISIANA,Tornado,0
208,195005,2,LOUISIANA,Tornado,0
209,195005,13,LOUISIANA,Tornado,0
210,195005,29,LOUISIANA,Tornado,0
211,195005,29,LOUISIANA,Tornado,0
212,195007,18,KANSAS,Tornado,0
213,195008,6,KANSAS,Tornado,0
214,195007,2,KANSAS,Tornado,0
215,195007,8,KANSAS,Tornado,0
216,195006,13,ILLINOIS,Tornado,0
217,195007,16,ILLINOIS,Tornado,0
218,195012,2,ILLINOIS,Tornado,0
219,195012,2,ILLINOIS,Tornado,0
220,195012,2,ILLINOIS,Tornado,0
221,195012,2,ILLINOIS,Tornado,0
222,195012,2,ILLINOIS,Tornado,0
0,195109,9,MISSISSIPPI,Tornado,0
1,195106,17,KANSAS,Tornado,0
2,195103,28,TEXAS,Tornado,0
3,195105,9,OKLAHOMA,Tornado,0
4,195107,15,OKLAHOMA,Tornado,0
5,195105,8,KANSAS,Tornado,0
6,195103,30,PENNSYLVANIA,Tornado,0
7,195105,11,PENNSYLVANIA,Tornado,0
8,195106,27,PENNSYLVANIA,Tornado,0
9,195107,21,PENNSYLVANIA,Tornado,0
10,195104,29,NEW JERSEY,Tornado,0
11,195102,19,OKLAHOMA,Tornado,0
12,195105,3,MICHIGAN,Tornado,0
13,195106,1,MICHIGAN,Tornado,0
14,195106,26,MICHIGAN,Tornado,0
15,195105,18,OKLAHOMA,Tornado,0
16,195105,19,OKLAHOMA,Tornado,0
17,195105,19,OKLAHOMA,Tornado,0
18,195105,19,OKLAHOMA,Tornado,0
19,195106,5,OKLAHOMA,Tornado,0
20,195106,6,OKLAHOMA,Tornado,0
21,195106,6,OKLAHOMA,Tornado,0
22,195106,7,OKLAHOMA,Tornado,0
23,195106,7,OKLAHOMA,Tornado,0
24,195106,7,OKLAHOMA,Tornado,0
25,195106,8,OKLAHOMA,Tornado,0
26,195106,8,OKLAHOMA,Tornado,0
27,195106,8,OKLAHOMA,Tornado,0
28,195106,20,OKLAHOMA,Tornado,0
29,195106,21,OKLAHOMA,Tornado,0
30,195107,15,OKLAHOMA,Tornado,0
31,195107,15,OKLAHOMA,Tornado,0
32,195107,27,OKLAHOMA,Tornado,0
33,195108,10,OKLAHOMA,Tornado,0
34,195108,31,OKLAHOMA,Tornado,0
35,195109,9,OKLAHOMA,Tornado,0
36,195110,21,OKLAHOMA,Tornado,0
37,195107,2,TEXAS,Tornado,0
38,195108,10,NEW MEXICO,Tornado,0
39,195106,5,NEW MEXICO,Tornado,0
40,195105,31,TEXAS,Tornado,0
41,195106,6,TEXAS,Tornado,0
42,195106,6,TEXAS,Tornado,0
43,195106,6,TEXAS,Tornado,0
44,195106,6,TEXAS,Tornado,0
45,195106,6,TEXAS,Tornado,0
46,195106,15,TEXAS,Tornado,0
47,195106,16,TEXAS,Tornado,0
48,195102,19,OKLAHOMA,Tornado,0
49,195102,19,OKLAHOMA,Tornado,0
50,195104,5,OKLAHOMA,Tornado,0
51,195104,5,OKLAHOMA,Tornado,0
52,195104,5,OKLAHOMA,Tornado,0
53,195104,24,OKLAHOMA,Tornado,0
54,195104,24,OKLAHOMA,Tornado,0
55,195104,24,OKLAHOMA,Tornado,0
56,195104,26,OKLAHOMA,Tornado,0
57,195104,27,OKLAHOMA,Tornado,0
58,195104,30,OKLAHOMA,Tornado,0
59,195104,30,OKLAHOMA,Tornado,0
60,195104,30,OKLAHOMA,Tornado,0
61,195105,9,OKLAHOMA,Tornado,0
62,195105,9,OKLAHOMA,Tornado,0
63,195105,14,OKLAHOMA,Tornado,0
64,195105,14,OKLAHOMA,Tornado,0
65,195105,16,OKLAHOMA,Tornado,0
66,195105,18,OKLAHOMA,Tornado,0
67,195105,18,OKLAHOMA,Tornado,0
68,195104,30,NEBRASKA,Tornado,0
69,195105,13,NEBRASKA,Tornado,0
70,195105,30,NEBRASKA,Tornado,0
71,195105,30,NEBRASKA,Tornado,0
72,195106,19,NEBRASKA,Tornado,0
73,195106,25,NEBRASKA,Tornado,0
74,195107,7,NEBRASKA,Tornado,0
75,195107,13,NEBRASKA,Tornado,0
76,195108,8,NEBRASKA,Tornado,0
77,195102,20,ARKANSAS,Tornado,0
78,195102,20,ARKANSAS,Tornado,0
79,195110,23,ARKANSAS,Tornado,0
80,195108,21,CONNECTICUT,Tornado,0
81,195101,11,CALIFORNIA,Tornado,0
82,195108,20,CONNECTICUT,Tornado,0
83,195108,21,CONNECTICUT,Tornado,0
84,195102,20,MISSISSIPPI,Tornado,0
85,195102,20,MISSISSIPPI,Tornado,0
86,195104,21,MISSISSIPPI,Tornado,0
87,195104,21,MISSISSIPPI,Tornado,0
88,195104,21,MISSISSIPPI,Tornado,0
89,195106,9,MISSISSIPPI,Tornado,0
90,195103,12,FLORIDA,Tornado,0
91,195105,26,FLORIDA,Tornado,0
92,195105,26,FLORIDA,Tornado,0
93,195107,22,FLORIDA,Tornado,0
94,195112,4,FLORIDA,Tornado,0
95,195112,18,FLORIDA,Tornado,0
96,195112,18,FLORIDA,Tornado,0
97,195112,18,FLORIDA,Tornado,0
98,195112,18,FLORIDA,Tornado,0
99,195108,21,MASSACHUSETTS,Tornado,0
100,195112,18,MASSACHUSETTS,Tornado,0
101,195112,8,MISSISSIPPI,Tornado,0
102,195112,20,MISSISSIPPI,Tornado,0
103,195106,9,NORTH CAROLINA,Tornado,0
104,195106,13,NORTH CAROLINA,Tornado,0
105,195107,6,NORTH CAROLINA,Tornado,0
106,195108,9,NORTH CAROLINA,Tornado,0
107,195102,20,ALABAMA,Tornado,0
108,195108,15,MICHIGAN,Tornado,0
109,195108,15,MICHIGAN,Tornado,0
110,195108,15,MICHIGAN,Tornado,0
111,195109,26,MICHIGAN,Tornado,0
112,195102,20,KENTUCKY,Tornado,0
113,195111,13,KENTUCKY,Tornado,0
114,195106,8,ALABAMA,Tornado,0
115,195111,15,ALABAMA,Tornado,0
116,195111,15,ALABAMA,Tornado,0
117,195111,16,ALABAMA,Tornado,0
118,195108,21,NEW HAMPSHIRE,Tornado,0
119,195106,19,MINNESOTA,Tornado,0
120,195106,19,MINNESOTA,Tornado,0
121,195106,25,MINNESOTA,Tornado,0
122,195107,20,MINNESOTA,Tornado,0
123,195105,25,MISSOURI,Tornado,0
124,195106,8,MISSOURI,Tornado,0
125,195107,4,MISSOURI,Tornado,0
126,195107,8,MISSOURI,Tornado,0
127,195107,9,MISSOURI,Tornado,0
128,195111,13,MISSOURI,Tornado,0
129,195106,25,IOWA,Tornado,0
130,195107,17,IOWA,Tornado,0
131,195108,26,IOWA,Tornado,0
132,195107,8,SOUTH DAKOTA,Tornado,0
133,195107,20,SOUTH DAKOTA,Tornado,0
134,195106,1,IOWA,Tornado,0
135,195106,19,IOWA,Tornado,0
136,195104,28,OHIO,Tornado,0
137,195106,22,OHIO,Tornado,0
138,195106,27,OHIO,Tornado,0
139,195107,21,MICHIGAN,Tornado,0
140,195106,14,NORTH DAKOTA,Tornado,0
141,195108,14,NORTH DAKOTA,Tornado,0
142,195112,6,OREGON,Tornado,0
143,195106,21,KANSAS,Tornado,0
144,195104,20,TEXAS,Tornado,0
145,195105,9,TEXAS,Tornado,0
146,195105,15,TEXAS,Tornado,0
147,195105,18,TEXAS,Tornado,0
148,195105,24,TEXAS,Tornado,0
149,195106,22,KANSAS,Tornado,0
150,195106,23,KANSAS,Tornado,0
151,195106,23,KANSAS,Tornado,0
152,195106,27,KANSAS,Tornado,0
153,195106,27,KANSAS,Tornado,0
154,195107,4,KANSAS,Tornado,0
155,195105,31,KANSAS,Tornado,0
156,195106,1,KANSAS,Tornado,0
157,195106,6,KANSAS,Tornado,0
158,195106,6,KANSAS,Tornado,0
159,195106,6,KANSAS,Tornado,0
160,195106,6,KANSAS,Tornado,0
161,195106,6,KANSAS,Tornado,0
162,195106,6,KANSAS,Tornado,0
163,195106,6,KANSAS,Tornado,0
164,195106,6,KANSAS,Tornado,0
165,195106,6,KANSAS,Tornado,0
166,195106,8,KANSAS,Tornado,0
167,195106,8,KANSAS,Tornado,0
168,195106,15,KANSAS,Tornado,0
169,195106,17,KANSAS,Tornado,0
170,195106,17,KANSAS,Tornado,0
171,195106,17,KANSAS,Tornado,0
172,195106,19,KANSAS,Tornado,0
173,195106,20,KANSAS,Tornado,0
174,195106,20,KANSAS,Tornado,0
175,195106,21,KANSAS,Tornado,0
176,195103,29,INDIANA,Tornado,0
177,195106,21,INDIANA,Tornado,0
178,195106,21,INDIANA,Tornado,0
179,195107,9,INDIANA,Tornado,0
180,195111,13,INDIANA,Tornado,0
181,195105,17,COLORADO,Tornado,0
182,195105,20,COLORADO,Tornado,0
183,195105,20,COLORADO,Tornado,0
184,195105,20,COLORADO,Tornado,0
185,195106,6,COLORADO,Tornado,0
186,195106,14,COLORADO,Tornado,0
187,195106,18,COLORADO,Tornado,0
188,195106,25,COLORADO,Tornado,0
189,195106,24,SOUTH CAROLINA,Tornado,0
190,195106,26,WEST VIRGINIA,Tornado,0
191,195109,12,WISCONSIN,Tornado,0
192,195109,12,WISCONSIN,Tornado,0
193,195109,26,WISCONSIN,Tornado,0
194,195109,26,WISCONSIN,Tornado,0
195,195109,26,WISCONSIN,Tornado,0
196,195105,23,GEORGIA,Tornado,0
197,195105,23,GEORGIA,Tornado,0
198,195111,16,GEORGIA,Tornado,0
199,195103,2,KANSAS,Tornado,0
200,195103,2,KANSAS,Tornado,0
201,195106,19,WISCONSIN,Tornado,0
202,195107,3,WISCONSIN,Tornado,0
203,195104,20,KANSAS,Tornado,0
204,195104,26,KANSAS,Tornado,0
205,195104,26,KANSAS,Tornado,0
206,195104,26,KANSAS,Tornado,0
207,195104,26,KANSAS,Tornado,0
208,195104,30,KANSAS,Tornado,0
209,195104,30,KANSAS,Tornado,0
210,195105,2,KANSAS,Tornado,0
211,195105,2,KANSAS,Tornado,0
212,195105,9,KANSAS,Tornado,0
213,195105,9,KANSAS,Tornado,0
214,195105,13,KANSAS,Tornado,0
215,195105,14,KANSAS,Tornado,0
216,195105,14,KANSAS,Tornado,0
217,195105,14,KANSAS,Tornado,0
218,195105,20,KANSAS,Tornado,0
219,195105,20,KANSAS,Tornado,0
220,195105,20,KANSAS,Tornado,0
221,195105,21,KANSAS,Tornado,0
222,195105,21,KANSAS,Tornado,0
223,195105,25,KANSAS,Tornado,0
224,195105,25,KANSAS,Tornado,0
225,195105,25,KANSAS,Tornado,0
226,195105,30,KANSAS,Tornado,0
227,195105,30,KANSAS,Tornado,0
228,195105,30,KANSAS,Tornado,0
229,195105,30,KANSAS,Tornado,0
230,195105,30,KANSAS,Tornado,0
231,195105,30,KANSAS,Tornado,0
232,195105,30,KANSAS,Tornado,0
233,195105,30,KANSAS,Tornado,0
234,195111,14,TENNESSEE,Tornado,0
235,195101,6,LOUISIANA,Tornado,0
236,195104,21,LOUISIANA,Tornado,0
237,195104,21,LOUISIANA,Tornado,0
238,195108,22,LOUISIANA,Tornado,0
239,195109,2,LOUISIANA,Tornado,0
240,195109,27,LOUISIANA,Tornado,0
241,195111,1,LOUISIANA,Tornado,0
242,195101,6,LOUISIANA,Tornado,0
243,195102,6,LOUISIANA,Tornado,0
244,195102,6,LOUISIANA,Tornado,0
245,195107,22,KANSAS,Tornado,0
246,195108,6,KANSAS,Tornado,0
247,195108,7,KANSAS,Tornado,0
248,195108,7,KANSAS,Tornado,0
249,195108,10,KANSAS,Tornado,0
250,195108,13,KANSAS,Tornado,0
251,195108,13,KANSAS,Tornado,0
252,195108,23,KANSAS,Tornado,0
253,195108,24,KANSAS,Tornado,0
254,195108,24,KANSAS,Tornado,0
255,195108,31,KANSAS,Tornado,0
256,195108,31,KANSAS,Tornado,0
257,195109,23,KANSAS,Tornado,0
258,195107,7,KANSAS,Tornado,0
259,195102,1,VIRGINIA,Tornado,0
260,195105,11,VIRGINIA,Tornado,0
261,195106,13,VIRGINIA,Tornado,0
262,195106,27,VIRGINIA,Tornado,0
263,195111,1,VIRGINIA,Tornado,0
264,195106,27,ILLINOIS,Tornado,0
265,195106,27,ILLINOIS,Tornado,0
266,195111,13,ILLINOIS,Tornado,0
267,195111,13,ILLINOIS,Tornado,0
268,195112,6,ILLINOIS,Tornado,0
0,195203,18,MISSOURI,Tornado,0
1,195206,29,FLORIDA,Tornado,0
2,195201,17,PENNSYLVANIA,Tornado,0
3,195204,5,PENNSYLVANIA,Tornado,0
4,195204,5,PENNSYLVANIA,Tornado,0
5,195204,5,PENNSYLVANIA,Tornado,0
6,195207,19,PENNSYLVANIA,Tornado,0
7,195207,23,PENNSYLVANIA,Tornado,0
8,195208,16,PENNSYLVANIA,Tornado,0
9,195204,5,NEW JERSEY,Tornado,0
10,195208,10,NEW JERSEY,Tornado,0
11,195208,10,NEW JERSEY,Tornado,0
12,195205,24,OHIO,Tornado,0
13,195207,13,OKLAHOMA,Tornado,0
14,195207,16,OKLAHOMA,Tornado,0
15,195208,15,OKLAHOMA,Tornado,0
16,195204,20,OKLAHOMA,Tornado,0
17,195204,20,OKLAHOMA,Tornado,0
18,195204,20,OKLAHOMA,Tornado,0
19,195204,20,OKLAHOMA,Tornado,0
20,195204,20,OKLAHOMA,Tornado,0
21,195204,20,OKLAHOMA,Tornado,0
22,195204,21,OKLAHOMA,Tornado,0
23,195204,30,OKLAHOMA,Tornado,0
24,195204,8,OKLAHOMA,Tornado,0
25,195204,20,OKLAHOMA,Tornado,0
26,195205,22,OKLAHOMA,Tornado,0
27,195205,23,OKLAHOMA,Tornado,0
28,195205,23,OKLAHOMA,Tornado,0
29,195205,23,OKLAHOMA,Tornado,0
30,195205,23,OKLAHOMA,Tornado,0
31,195206,1,OKLAHOMA,Tornado,0
32,195206,4,OKLAHOMA,Tornado,0
33,195206,15,OKLAHOMA,Tornado,0
34,195206,21,OKLAHOMA,Tornado,0
35,195206,29,OKLAHOMA,Tornado,0
36,195207,7,OKLAHOMA,Tornado,0
37,195204,30,TEXAS,Tornado,0
38,195205,23,TEXAS,Tornado,0
39,195205,23,TEXAS,Tornado,0
40,195208,12,TEXAS,Tornado,0
41,195212,3,TEXAS,Tornado,0
42,195202,1,TEXAS,Tornado,0
43,195203,2,TEXAS,Tornado,0
44,195203,17,TEXAS,Tornado,0
45,195203,17,TEXAS,Tornado,0
46,195204,3,TEXAS,Tornado,0
47,195204,18,TEXAS,Tornado,0
48,195204,21,TEXAS,Tornado,0
49,195211,14,ARIZONA,Tornado,0
50,195205,6,NEW YORK,Tornado,0
51,195209,17,NORTH CAROLINA,Tornado,0
52,195202,13,MISSISSIPPI,Tornado,0
53,195202,13,MISSISSIPPI,Tornado,0
54,195203,21,MISSISSIPPI,Tornado,0
55,195203,21,MISSISSIPPI,Tornado,0
56,195207,29,MISSISSIPPI,Tornado,0
57,195208,3,MISSISSIPPI,Tornado,0
58,195206,10,NORTH DAKOTA,Tornado,0
59,195206,10,NORTH DAKOTA,Tornado,0
60,195206,15,NORTH DAKOTA,Tornado,0
61,195206,20,NORTH DAKOTA,Tornado,0
62,195207,1,NORTH DAKOTA,Tornado,0
63,195207,1,NORTH DAKOTA,Tornado,0
64,195208,10,NEW JERSEY,Tornado,0
65,195207,19,MONTANA,Tornado,0
66,195207,19,MONTANA,Tornado,0
67,195208,13,NEBRASKA,Tornado,0
68,195206,15,NEBRASKA,Tornado,0
69,195207,1,NORTH DAKOTA,Tornado,0
70,195207,1,NORTH DAKOTA,Tornado,0
71,195207,9,NORTH DAKOTA,Tornado,0
72,195207,19,NORTH DAKOTA,Tornado,0
73,195207,24,NORTH DAKOTA,Tornado,0
74,195206,26,NEBRASKA,Tornado,0
75,195207,12,NEBRASKA,Tornado,0
76,195208,13,NEBRASKA,Tornado,0
77,195208,13,NEBRASKA,Tornado,0
78,195208,13,NEBRASKA,Tornado,0
79,195204,29,NEBRASKA,Tornado,0
80,195205,8,NEBRASKA,Tornado,0
81,195205,13,NEBRASKA,Tornado,0
82,195205,26,NEBRASKA,Tornado,0
83,195201,26,ARKANSAS,Tornado,0
84,195201,26,ARKANSAS,Tornado,0
85,195202,13,ARKANSAS,Tornado,0
86,195203,3,ARKANSAS,Tornado,0
87,195203,21,ARKANSAS,Tornado,0
88,195203,21,ARKANSAS,Tornado,0
89,195203,21,ARKANSAS,Tornado,0
90,195203,21,ARKANSAS,Tornado,0
91,195203,21,ARKANSAS,Tornado,0
92,195203,21,ARKANSAS,Tornado,0
93,195203,21,ARKANSAS,Tornado,0
94,195203,21,ARKANSAS,Tornado,0
95,195207,16,ARKANSAS,Tornado,0
96,195211,17,ARKANSAS,Tornado,0
97,195212,20,CALIFORNIA,Tornado,0
98,195203,21,ARKANSAS,Tornado,0
99,195203,21,ARKANSAS,Tornado,0
100,195203,21,ARKANSAS,Tornado,0
101,195203,21,ARKANSAS,Tornado,0
102,195203,21,ARKANSAS,Tornado,0
103,195203,21,ARKANSAS,Tornado,0
104,195203,21,ARKANSAS,Tornado,0
105,195203,21,ARKANSAS,Tornado,0
106,195203,21,ARKANSAS,Tornado,0
107,195204,22,ARKANSAS,Tornado,0
108,195201,28,FLORIDA,Tornado,0
109,195201,28,FLORIDA,Tornado,0
110,195202,20,FLORIDA,Tornado,0
111,195204,22,ARKANSAS,Tornado,0
112,195206,4,ARKANSAS,Tornado,0
113,195206,18,ARKANSAS,Tornado,0
114,195207,16,ARKANSAS,Tornado,0
115,195202,13,MISSISSIPPI,Tornado,0
116,195204,5,NORTH CAROLINA,Tornado,0
117,195205,10,NORTH CAROLINA,Tornado,0
118,195205,20,NORTH CAROLINA,Tornado,0
119,195207,23,NORTH CAROLINA,Tornado,0
120,195208,31,NORTH CAROLINA,Tornado,0
121,195205,22,MISSOURI,Tornado,0
122,195207,17,MISSOURI,Tornado,0
123,195208,21,MISSOURI,Tornado,0
124,195211,16,MISSOURI,Tornado,0
125,195203,3,ALABAMA,Tornado,0
126,195203,22,ALABAMA,Tornado,0
127,195204,4,ALABAMA,Tornado,0
128,195204,5,MARYLAND,Tornado,0
129,195208,31,MARYLAND,Tornado,0
130,195205,10,ALABAMA,Tornado,0
131,195205,10,ALABAMA,Tornado,0
132,195205,10,ALABAMA,Tornado,0
133,195203,22,KENTUCKY,Tornado,0
134,195212,9,KENTUCKY,Tornado,0
135,195212,9,KENTUCKY,Tornado,0
136,195201,22,ALABAMA,Tornado,0
137,195202,13,ALABAMA,Tornado,0
138,195202,13,ALABAMA,Tornado,0
139,195202,13,ALABAMA,Tornado,0
140,195202,13,ALABAMA,Tornado,0
141,195202,13,ALABAMA,Tornado,0
142,195202,29,ALABAMA,Tornado,0
143,195204,5,MARYLAND,Tornado,0
144,195204,5,MARYLAND,Tornado,0
